Provincia, Población , Media del Ingreso per cápita familiar, Pobreza, Hacinamiento critico, Sin agua red, Secundario completo 25-65 años, Tasa actividad, Tasa empleo
Total Nacional Urbano, 42268371, 50074, 0.401, 0.048, 0.106, 0.626, 0.584, 0.538
Ciudad Autónoma de Buenos Aires , 3003894, 92863, 0.1610, 0.033, 0.005, 0.863, 0.647, 0.602
Buenos Aires, 17291705, 48086, 0.450, 0.058, 0.191, 0.620, 0.588, 0.537
Catamarca, 336379, 35871, 0.443, 0.074, 0.036, 0.676, 0.526, 0.500
Córdoba, 3477273, 50656, 0.540, 0.039, 0.018, 0.589, 0.605, 0.537
Corrientes, 966771, 37751, 0.409, 0.053, 0.021, 0.645, 0.547, 0.526
Chaco, 1043935, 31247, 0.452, 0.047, 0.250, 0.525, 0.536, 0.500
Chubut, 590794, 68585, 0.395, 0.025, 0.007, 0.584, 0.559, 0.528
Entre Ríos, 1251550, 46560, 0.382, 0.020, 0.015, 0.606, 0.548, 0.504
Formosa, 508667, 31424, 0.344, 0.059, 0.122, 0.506, 0.402, 0.376
Jujuy, 696137, 35142, 0.418, 0.070, 0.030, 0.656, 0.557, 0.533
La Pampa, 316949, 55918, 0.417, 0.020, 0.057, 0.566, 0.554, 0.500
La Rioja, 355611, 32934, 0.440, 0.030, 0.005, 0.718, 0.580, 0.558
Mendoza, 1667638, 44068, 0.417, 0.052, 0.009, 0.577, 0.596, 0.547
Misiones, 1003176, 41305, 0.367, 0.013, 0.048, 0.501, 0.549, 0.521
Neuquén, 611715, 59205, 0.384, 0.046, 0.009, 0.596, 0.573, 0.528
Río Negro, 686676, 55497, 0.362, 0.039, 0.014, 0.631, 0.553, 0.527
Salta, 1307471, 35612, 0.401, 0.066, 0.105, 0.587, 0.572, 0.532
San Juan, 698977, 46444, 0.332, 0.045, 0.024, 0.557, 0.552, 0.525
San Luis, 457396, 40552, 0.452, 0.036, 0.011, 0.629, 0.561, 0.542
Santa Cruz, 378970, 65327, 0.374, 0.018, 0.000, 0.645, 0.573, 0.544
Santa Fe, 3311173, 53488, 0.395, 0.028, 0.119, 0.635, 0.611, 0.567
Santiago Del Estero, 730283, 34642, 0.465, 0.049, 0.130, 0.573, 0.521, 0.501
Tucumán, 1402918, 36461, 0.305, 0.067, 0.076, 0.552, 0.555, 0.506
Tierra del Fuego, 172313, 86819, 0.435, 0.005, 0.006, 0.784, 0.584, 0.556
