distrito_nombre,seccion_nombre,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
Buenos Aires,25 de Mayo,351,1058,7709,7166,7681
Buenos Aires,9 de Julio,720,1753,11177,10223,9028
Buenos Aires,Adolfo Alsina,169,599,3426,3422,2611
Buenos Aires,Adolfo Gonzales Chaves,119,438,1934,2312,2991
Buenos Aires,Alberti,123,356,2268,2179,2710
Buenos Aires,Almirante Brown,15165,12191,63045,79349,173547
Buenos Aires,Arrecifes,252,1073,5334,5902,6993
Buenos Aires,Avellaneda,8370,6563,53651,45868,110106
Buenos Aires,Ayacucho,297,868,4253,3623,4332
Buenos Aires,Azul,1095,2807,11662,13076,14306
Buenos Aires,Bahía Blanca,7387,8270,55366,60996,52967
Buenos Aires,Balcarce,575,1942,9986,10100,7835
Buenos Aires,Baradero,453,1232,4576,6227,10528
Buenos Aires,Benito Juárez,304,768,2770,3749,5471
Buenos Aires,Berazategui,9382,7307,39351,54563,103047
Buenos Aires,Berisso,2306,2028,13605,14244,29945
Buenos Aires,Bolívar,461,1041,7832,6948,7817
Buenos Aires,Bragado,450,1622,8341,7832,9593
Buenos Aires,Brandsen,387,931,5778,5890,7628
Buenos Aires,Campana,2106,2199,19820,17199,23910
Buenos Aires,Capitán Sarmiento,175,703,3408,3467,2783
Buenos Aires,Carlos Casares,303,761,4143,5221,4746
Buenos Aires,Carlos Tejedor,148,347,2531,1825,3402
Buenos Aires,Carmen de Areco,133,576,2745,3285,4050
Buenos Aires,Castelli,86,241,1760,1572,2593
Buenos Aires,Cañuelas,1323,1431,8013,10819,16412
Buenos Aires,Chacabuco,765,2007,8128,10193,13379
Buenos Aires,Chascomús,595,1503,8714,7139,8367
Buenos Aires,Chivilcoy,780,5925,10400,12573,15845
Buenos Aires,Colón,307,1207,4138,4343,6826
Buenos Aires,Coronel Dorrego,174,418,3755,3139,3030
Buenos Aires,Coronel Pringles,380,647,4597,5007,3534
Buenos Aires,Coronel Suárez,720,2100,7173,8533,7095
Buenos Aires,Coronel de Marina L. Rosales,890,1637,12037,15121,7485
Buenos Aires,Daireaux,154,375,3619,3614,3768
Buenos Aires,Dolores,228,657,7151,5415,6506
Buenos Aires,Ensenada,1629,1088,7665,9447,24388
Buenos Aires,Escobar,5274,5403,29676,44742,63308
Buenos Aires,Esteban Echeverría,7584,6367,35116,49147,82369
Buenos Aires,Exaltación de la Cruz,569,1149,6269,8142,8363
Buenos Aires,Ezeiza,4084,3339,17902,32832,51731
Buenos Aires,Florencio Varela,10133,7330,31242,59727,138034
Buenos Aires,Florentino Ameghino,73,153,2186,1667,2184
Buenos Aires,General Alvarado,773,1020,8514,7897,10489
Buenos Aires,General Alvear,50,233,2461,1919,2202
Buenos Aires,General Arenales,118,510,3912,3776,3297
Buenos Aires,General Belgrano,211,546,4507,3356,4169
